"K1","K2","K3","sp1","sp2","sp3","surv_sp"
0.943796157849267,0.122237617117485,0.307094085567275,1,1,1,"1_3"
0.185977841540642,0.338725676544582,0.922321613378597,1,1,1,"3"
0.237722426448266,0.917282757464539,0.319500220378329,1,1,1,"2"
0.468057781328229,0.052820433144165,0.882117857874195,1,1,1,"1_3"
0.00606993103450224,0.998668987609934,0.051219226110776,1,1,1,"2"
0.977807557743484,0.194840796669941,0.0770028828859346,1,1,1,"1_3"
0.289716924482868,0.596373935014285,0.748600182543235,1,1,1,"1_2_3"
0.0438912229876679,0.0930082750306112,0.994697452153406,1,1,1,"3"
0.768394976491534,0.46855211374877,0.43592209946748,1,1,1,"1_2_3"
0.460854810605119,0.868843713939692,0.180896225194454,1,1,1,"1_2"
0.731521502167336,0.618638594228218,0.286640160476823,1,1,1,"1_2_3"
0.96550340126303,0.260387543198533,0.00122861570573527,1,1,1,"1"
0.788393740649884,0.359616366309429,0.499110587732304,1,1,1,"1_3"
0.0376486978610509,0.995921332388834,0.0819955806261352,1,1,1,"2"
0.64635692201634,0.368301295036904,0.668264083604455,1,1,1,"1_3"
0.15230357286133,0.985616548582642,0.0732368817858428,1,1,1,"2"
0.675059926725506,0.635953607375277,0.373974737911167,1,1,1,"1_2_3"
0.617835520633823,0.0251151542698044,0.785906163908349,1,1,1,"1_3"
0.324106703408178,0.830652902491761,0.452736789302456,1,1,1,"1_2_3"
0.133678067104221,0.561655491658143,0.81650063261796,1,1,1,"2_3"
0.0567960931427733,0.880284816952091,0.471033804357332,1,1,1,"2_3"
0.590181249326335,0.519275851464771,0.618092778657981,1,1,1,"1_2_3"
0.347740910219046,0.910799553898518,0.222531867332053,1,1,1,"1_2"
0.459155491652045,0.161389685559126,0.873572895573629,1,1,1,"1_3"
0.580251895817016,0.744114082486326,0.331061881898675,1,1,1,"1_2_3"
0.760050880252107,0.346583154734135,0.54972973021525,1,1,1,"1_3"
0.794405073932806,0.581885066919645,0.174156100684798,1,1,1,"1_2_3"
0.209308040219708,0.97640817925047,0.0530774132015374,1,1,1,"2"
0.492440222768781,0.653548667560783,0.574784103928561,1,1,1,"1_2_3"
0.517002016100099,0.206955793798187,0.830589076957911,1,1,1,"1_3"
0.0444451090054822,0.592739179390445,0.804167207427058,1,1,1,"2_3"
0.590658320774703,0.266546672086376,0.761626955733111,1,1,1,"1_3"
0.462749462149291,0.516006912993238,0.720832713619276,1,1,1,"1_2_3"
0.358360751437387,0.837665510005251,0.41218207769974,1,1,1,"1_2_3"
0.481609779966961,0.454056685574086,0.74958958512352,1,1,1,"1_3"
0.436867926142454,0.222001844877463,0.871700404943691,1,1,1,"1_3"
0.782845715069148,0.426861959716135,0.452704598767425,1,1,1,"1_3"
0.504593582080302,0.723484983338824,0.4711207868547,1,1,1,"1_2_3"
0.0951619014300905,0.0841513250245986,0.991898566897248,1,1,1,"3"
0.836011757079777,0.00203640129046505,0.548707750167763,1,1,1,"1_3"
0.587486588468122,0.759459337274543,0.279429818374128,1,1,1,"1_2_3"
0.168245304535,0.898494574163158,0.405463953639889,1,1,1,"2_3"
0.31956033627895,0.297040063966973,0.899804640950346,1,1,1,"1_3"
0.128538163864627,0.380595847085825,0.9157645666935,1,1,1,"3"
0.479458849543601,0.875560530188025,0.0592703093562979,1,1,1,"1_2"
0.555041574464355,0.830341986216593,0.0496088353220892,1,1,1,"1_2"
