"stage","plot","year","n_sp_real","n_sp_pot","Omega_pool","omega_pool","Omega_real","omega_real","Omega_percentile","omega_percentile","Omega_mean","omega_mean","comp_strength_real","comp_strength_mean"
"middle","5","2009",30,44,1.79365164634091e-48,0.0821973249724611,4.37549993635498e-13,0.387288192040348,0.892,0.892,3.1089349665775e-12,0.307328572549182,0.0643034482758621,0.0835749620689656
"middle","5","2010",24,38,2.73602087452625e-32,0.147705912208848,2.43007742078736e-10,0.397558311971887,0.55,0.55,3.62391749486647e-09,0.392313468319834,0.0850597826086957,0.0818329402173914
"middle","5","2011",18,27,2.09277674791747e-15,0.285971708766512,1.19067442376558e-06,0.468681045744995,0.686,0.686,4.40775033062457e-06,0.444565859962421,0.114264705882353,0.121081411764706
"middle","5","2012",12,17,6.37235264283332e-07,0.432062970486524,0.00250661449946767,0.607095894037795,0.884,0.884,0.00123447377287703,0.528065703493649,0.158931818181818,0.170943181818182
"middle","5","2013",12,16,1.56275496691141e-05,0.500746797530861,0.0126698608459518,0.69486054679878,0.937,0.937,0.00370234788370937,0.588739226009381,0.105954545454546,0.125174606060606
"middle","5","2014",15,20,1.48690760681499e-09,0.361921346629699,1.51583820305777e-05,0.477210718723197,0.7,0.7,0.000112639792473781,0.464111476678565,0.1332,0.1341324
"middle","5","2016",5,10,4.17291009894506e-06,0.289763649503136,0.0455844382948555,0.539216684265445,0.664,0.664,0.0396311351531615,0.5093284736162,0.34965,0.33398235
"middle","5","2017",17,36,6.78295124153934e-28,0.175920797839348,2.72920135980815e-05,0.538928939008276,0.567,0.567,0.000289563478091489,0.531923755881989,0.0991654411764707,0.0839123272058824
"initial","2","2007",25,27,4.54028471261867e-16,0.27023638215243,3.67395595685636e-15,0.264609454713776,0.577577577577578,0.577577577577578,2.57613382180137e-13,0.259381832293641,0.12654,0.117345
"initial","2","2008",44,57,5.24330083433993e-71,0.0584804371134361,1.60487752367946e-37,0.14580084570074,0.199199199199199,0.199199199199199,9.4077644310867e-25,0.185109366585904,0.0723377378435518,0.0654529598308669
"initial","2","2009",27,38,5.09775497387774e-34,0.13300819308283,2.03536219980908e-17,0.240880444889322,0.319639278557114,0.319639278557114,2.19622335253447e-12,0.265917450012645,0.125230769230769,0.107864382611377
"initial","2","2010",34,49,0,0,5.68729152055997e-18,0.311022163429812,0.98,0.98,1.63043908345073e-17,0.17205032541334,0.0596550802139038,0.086667256684492
"initial","2","2011",16,23,5.23501051458949e-12,0.323234832165892,2.8785174494072e-05,0.520233187790021,0.97,0.97,5.99986769623331e-06,0.444373016016481,0.0915750000000001,0.1257699375
"initial","2","2012",18,21,3.56154578626295e-08,0.441891981061781,8.7792378682538e-05,0.5951637750509,0.999,0.999,6.94289531868393e-06,0.49669365540829,0.0555,0.0874973823529412
"initial","2","2013",18,20,4.04996457435352e-09,0.38051568321417,9.1044996851022e-08,0.406300690395536,0.946,0.946,2.62939518629413e-08,0.368211768257786,0.137117647058824,0.152112441176471
"initial","2","2014",24,28,1.51884563146195e-16,0.272304023514154,1.54350620380253e-10,0.390110688132037,0.873873873873874,0.873873873873874,1.81995791441107e-10,0.34100001125438,0.0904891304347827,0.122030797101449
"initial","2","2016",14,16,1.91472454013675e-15,0.120262892197855,1.55134255814151e-13,0.121632756901783,0.01,0.01,7.04131749960788e-10,0.18545402124111,0.378741758241758,0.325937472527473
"initial","2","2017",27,32,2.39033539181006e-30,0.11866614629638,1.31955511747647e-14,0.306155284809514,0.967,0.967,1.38009514426353e-14,0.220008735969302,0.123807692307692,0.148657461538462
"middle","6","2007",17,25,4.19855688857078e-26,0.0965881842031697,1.14884631581072e-09,0.29794290990239,0.597194388777555,0.597194388777555,7.01082959979694e-09,0.279408555041283,0.161602941176471,0.155596929152423
"middle","6","2008",30,37,6.97643035368724e-27,0.196368204552788,2.91094767996845e-12,0.412541661464304,0.913741223671013,0.913741223671013,4.32460804205553e-12,0.341545485606652,0.0551172413793104,0.0588914640473144
"middle","6","2009",19,30,6.71006569434475e-29,0.115051131022396,1.82223969421035e-07,0.441870518458346,0.91,0.91,1.1274679870949e-07,0.358921371745515,0.116842105263158,0.136319684210526
"middle","6","2010",15,20,6.16377138500029e-16,0.17357705919302,9.71199610970681e-09,0.292294448297085,0.283,0.283,1.37509370316932e-07,0.316456133784018,0.180771428571429,0.154512
"middle","6","2011",19,24,1.31302851223121e-13,0.290577125471293,3.93094442121832e-08,0.407602349903134,0.811,0.811,3.84657000066439e-08,0.369832777020802,0.122684210526316,0.1473525
"middle","6","2012",10,14,1.12406349180143e-08,0.270519979539939,5.7831681405035e-05,0.376891707380464,0.437,0.437,0.000135568495346171,0.384440795553926,0.2775,0.276834
"middle","6","2013",7,9,0.000205677323207845,0.389362431849266,0.00911237790974056,0.511115224626045,0.812,0.812,0.0062943478386079,0.469149603714617,0.1665,0.222301285714286
"middle","6","2014",16,20,0,0,0,0,0.001001001001001,0.001001001001001,1.08842744958604e-11,0.141880368618881,0.391275,0.297804166666667
"middle","6","2016",16,20,5.29850045888908e-20,0.108694519948609,4.96904685240317e-10,0.262130205653274,0.879,0.879,4.03407468018583e-10,0.216416074163496,0.2955375,0.2480059125
"middle","6","2017",30,39,0,0,0,0,0.5,0.5,7.93891804760577e-31,0.0161398279271216,0.31118275862069,0.216819843452507
